Date,Closing,Open,High,Low
15-Nov-17,126.8,126.85,127.53,126.28
14-Nov-17,127.05,127.55,129,124.25
13-Nov-17,127.6,127.5,128.15,126.65
10-Nov-17,127.55,126.05,128.35,125.5
9-Nov-17,126.4,125.55,127.4,125
8-Nov-17,125.75,125.05,125.9,124.2
7-Nov-17,124.7,125.5,125.8,123.1
6-Nov-17,125.55,123.95,126.4,122.25
3-Nov-17,123.95,127.15,127.4,126.25
2-Nov-17,126.4,123.35,127.6,122.55
1-Nov-17,122.95,124.7,126.2,121.2
30-Oct-17,125.9,127,127.75,125.05
27-Oct-17,126.6,124,127.5,123.7
26-Oct-17,124.55,124.4,124.9,123
25-Oct-17,124.72,123.45,125.25,123.15
24-Oct-17,123.2,124.25,124.75,122.85
23-Oct-17,124.35,125.1,126.5,123.85
20-Oct-17,125.25,126.95,127.95,124
19-Oct-17,126.85,124.75,128.05,124.5
18-Oct-17,124.3,124.15,124.7,123
17-Oct-17,124.15,123.75,125.05,123
16-Oct-17,123.75,126.1,126.45,123.7
13-Oct-17,126.45,126.4,127.15,125.45
12-Oct-17,126.35,127.2,127.8,125.4
11-Oct-17,126.8,129.8,129.85,126.55
10-Oct-17,131,131,132.7,130.05
9-Oct-17,130.95,131,131.9,129.8
6-Oct-17,130,127.9,130.7,127.4
5-Oct-17,127.2,125.75,127.65,124.3
4-Oct-17,125.15,126.2,126.4,124.4
3-Oct-17,125.45,127.4,127.8,125.4
2-Oct-17,127.2,127.8,128,125.3
29-Sep-17,128.05,128.95,129.15,127.25
28-Sep-17,128.5,129.45,129.7,127.5
27-Sep-17,129.35,131.95,132.15,129
26-Sep-17,132.25,131.55,133.65,130.85
25-Sep-17,131.55,133.65,133.7,131.35
22-Sep-17,134.45,135.8,136.2,134.05
21-Sep-17,135,136.2,136.2,133.65
20-Sep-17,136.55,135.35,137.45,132.9
19-Sep-17,134.9,139.77,140.38,134.57
18-Sep-17,138.95,141.35,141.35,139.45
15-Sep-17,140,139.25,140.15,139.25
14-Sep-17,135.85,137,137.25,137
13-Sep-17,136.6,134.6,136.4,133.55
12-Sep-17,133.8,132.75,132.75,132.75
11-Sep-17,130.6,129.65,129.65,128.75
8-Sep-17,130.57,129.04,130.97,129.04
7-Sep-17,127.9,126.35,128.4,125.95
