,2014,2015,2016,2014Category,2015Category,2016Category,2014Encoded,2015Encoded,2016Encoded,,ML Predicts all 3 yrs,ML Predicts 2014-2015
Afghanistan,"2,202,642,037","2,224,419,103","1,263,122,571",Substantial,Substantial,Substantial,6,6,6,,Y,Y
Albania,"21,502,503","18,553,548","11,788,431",Medium,Small,Small,3,2,2,,N,N
Algeria,"7,494,186","7,504,667","1,983,881",Small,Small,Micro,2,2,1,,N,Y
Angola,"67,107,300","61,494,920","52,439,601",Large,Large,Large,4,4,4,,Y,Y
Antigua and Barbuda,8955,"14,130","3,780",Micro,Micro,Micro,1,1,1,,Y,Y
Argentina,"1,946,256","1,825,092","1,885,674",Micro,Micro,Micro,1,1,1,,Y,Y
Armenia,"37,272,007","39,333,349","24,089,150",Medium,Medium,Medium,3,3,3,,Y,Y
Azerbaijan,"27,489,691","22,512,506","11,170,994",Medium,Medium,Small,3,3,2,,N,Y
Bahamas,"1,305,824","767,064","51,562",Micro,Micro,Micro,1,1,1,,Y,Y
Bahrain,"626,968","1,259,711","943,340",Micro,Micro,Micro,1,1,1,,Y,Y
Bangladesh,"261,713,436","250,830,290","222,750,371",Substantial,Substantial,Substantial,6,6,6,,Y,Y
Barbados,"69,808","208,240","4,593",Micro,Micro,Micro,1,1,1,,Y,Y
Belarus,"15,088,903","17,390,445","8,505,418",Small,Small,Small,2,2,2,,Y,Y
Belgium,"2,100,238","5,775,753","3,937,996",Micro,Small,Micro,1,2,1,,N,Y
Belize,"2,289,513","1,837,129","288,971",Micro,Micro,Micro,1,1,1,,Y,Y
Benin,"25,179,853","52,991,568","33,173,074",Medium,Medium,Medium,3,3,3,,Y,Y
Bhutan,"327,412","780,088","291,863",Micro,Micro,Micro,1,1,1,,Y,Y
Bolivia,"32,976,527","59,144,311","49,283",Medium,Medium,Micro,3,3,1,,N,Y
Bosnia and Herzegovina,"48,095,613","42,639,175","26,187,912",Medium,Medium,Medium,3,3,3,,Y,Y
Botswana,"56,364,651","51,461,760","12,893,047",Large,Large,Small,4,4,2,,N,Y
Brazil,"21,781,537","19,110,645","8,332,332",Medium,Small,Small,3,2,2,,N,Y
Brunei,"243,098","94,092","168,595",Micro,Micro,Micro,1,1,1,,Y,Y
Bulgaria,"6,285,952","8,614,815","263,341",Small,Small,Micro,2,2,1,,N,Y
Burkina Faso,"228,821,517","78,145,904","44,402,220",Substantial,Large,Medium,6,4,3,,N,N
Burma (Myanmar),"90,729,283","111,593,470","123,248,627",Large,XL,XL,4,5,5,,N,N
Burundi,"33,322,571","48,383,365","42,846,592",Medium,Medium,Medium,3,3,3,,Y,Y
Cabo Verde,"7,743,474","11,303,648","3,937,068",Small,Small,Micro,2,2,1,,N,Y
Cambodia,"87,779,748","91,597,169","74,500,942",Large,Large,Large,4,4,4,,Y,Y
Cameroon,"38,602,231","57,617,656","46,325,330",Medium,Large,Medium,3,4,3,,N,N
Canada,"373,185","47,034,682","23,703,934",Micro,Medium,Medium,1,3,3,,N,N
Central African Republic,"47,904,055","69,877,823","64,312,115",Medium,Large,Large,3,4,4,,N,N
Chad,"81,335,106","68,253,115","32,246,069",Large,Large,Medium,4,4,3,,N,Y
Chile,"3,593,502","2,221,418","446,355",Micro,Micro,Micro,1,1,1,,Y,Y
China (P.R.C.),"46,134,871","36,793,917","14,161,219",Medium,Small,Small,3,2,2,,N,N
China (PR Hong Kong),"204,179","195,465","199,822",Micro,Micro,Micro,1,1,1,,Y,Y
"China, Republic of (Taiwan)","1,589,835","667,912","362,173",Micro,Micro,Micro,1,1,1,,Y,Y
Colombia,"371,519,768","632,849,729","161,668,693",Substantial,Substantial,XL,6,6,5,,N,Y
Comoros,"423,334","1,028,710","348,236",Micro,Micro,Micro,1,1,1,,Y,Y
Congo (Brazzaville),"5,170,525","2,363,880","1,318,145",Small,Micro,Micro,2,1,1,,N,N
