Country,2014.00,2015.00,2016.00,WB 2015 GDP-growth annual %
Afghanistan,2202642037.00,2224419103.00,1263122571.00,-1.9466
Albania,21502503.00,18553548.00,11788431.00,2.9597
Algeria,7494186.00,7504667.00,1983881.00,3.9
Angola,67107300.00,61494920.00,52439601.00,3.007
Antigua and Barbuda,,14130.00,3780.00,4.127
Argentina,1946256.00,1825092.00,,2.3723
Armenia,37272007.00,39333349.00,24089150.00,3
Azerbaijan,27489691.00,22512506.00,11170994.00,1.1
Bahamas,1305824.00,767064.00,51562.00,-1.6636
Bahrain,626968.00,1259711.00,,2.863
Bangladesh,261713436.00,250830290.00,222750371.00,6.5526
Barbados,69808.00,208240.00,4593.00,0.8824
Belarus,15088903.00,17390445.00,8505418.00,-3.8877
Belgium,2100238.00,5775753.00,,1.5002
Belize,2289513.00,1837129.00,288971.00,1.0438
Benin,25179853.00,52991568.00,33173074.00,2.0945
Bhutan,327412.00,780088.00,291863.00,5.1415
Bolivia,32976527.00,59144311.00,49283.00,3.257
Bosnia and Herzegovina,48095613.00,42639175.00,26187912.00,3.2278
Botswana,56364651.00,51461760.00,12893047.00,-2.1307
Brazil,21781537.00,19110645.00,8332332.00,-4.666
Brunei,243098.00,94092.00,,-1.9282
Bulgaria,6285952.00,8614815.00,263341.00,4.2807
Burkina Faso,228821517.00,78145904.00,44402220.00,4.021
Burma (Myanmar),90729283.00,111593470.00,123248627.00,7.294
Burundi,33322571.00,48383365.00,42846592.00,-3.9049
Cabo Verde,7743474.00,11303648.00,3937068.00,1.4547
Cambodia,87779748.00,91597169.00,74500942.00,7.0361
Cameroon,38602231.00,57617656.00,46325330.00,5.7732
Canada,373185.00,47034682.00,,1.0783
Central African Republic,47904055.00,69877823.00,64312115.00,2.7477
Chad,81335106.00,68253115.00,32246069.00,-1.4664
Chile,3593502.00,2221418.00,446355.00,2.3056
China (PR Hong Kong),204179.00,195465.00,,
China (P.R.C.),46134871.00,36793917.00,14161219.00,6.9143
"China, Republic of (Taiwan)",1589835.00,667912.00,362173.00,
Colombia,371519768.00,632849729.00,161668693.00,3.0833
Comoros,423334.00,1028710.00,348236.00,1.0151
Congo (Brazzaville),5170525.00,2363880.00,1318145.00,2.6464
Congo (Kinshasa),333663241.00,843634680.00,301269749.00,6.9162
Costa Rica,9336360.00,7881859.00,3763311.00,3.7491
Cote d'Ivoire,109849251.00,57684427.00,45895154.00,9.1634
Croatia,3869221.00,2619789.00,56103.00,1.6446
Cuba,11639090.00,13146845.00,2236004.00,2.5064
Cyprus,5599442.00,2398758.00,1550404.00,1.6793
Czechia,879398.00,1155914.00,,4.5356
Djibouti,11320049.00,9188790.00,3282176.00,6.5005
Dominica,479000.00,393000.00,149392.00,-1.7621
Dominican Republic,48813932.00,43959920.00,36387366.00,7.0409
Ecuador,39971141.00,35929017.00,5807111.00,0.1577
Egypt,106090666.00,101232479.00,159935054.00,4.2
El Salvador,64353305.00,67135678.00,68135323.00,2.4551
Equatorial Guinea,192661.00,232534.00,56180.00,-10.9087
Eritrea,133308.00,80230.00,-12.00,6.4129
Estonia,2289902.00,2746345.00,,1.6411
Ethiopia,674021198.00,682242486.00,730911332.00,6.9255
Fiji,1968058.00,1779446.00,2013752.00,5.5635
France,662025.00,2946292.00,,1.2742
Gabon,6705222.00,9467764.00,138308.00,4.0128
Gambia,1989116.00,2229513.00,508073.00,4.7159
Georgia,235710965.00,50901995.00,57064755.00,2.7749
Germany,348659.00,3864921.00,,1.7207
Ghana,118434358.00,194375413.00,187527162.00,3.9172
Greece,459018.00,706470.00,90330.00,-0.2191
Grenada,21550.00,4928.00,,6.2287
Guatemala,126797526.00,123401470.00,121697060.00,4.1488
Guinea,35969337.00,75445694.00,103115154.00,0.1
Guinea-Bissau,3239989.00,1545527.00,3368107.00,4.7968
Haiti,345916448.00,387705008.00,301893290.00,1.1855
Honduras,90731492.00,83857987.00,120713714.00,3.643
Hungary,14176954.00,2157017.00,897346.00,3.1481
India,116933144.00,110364115.00,89143269.00,7.5634
Indonesia,212176760.00,232098398.00,162624011.00,4.7939
Iran,1032484.00,674800.00,,4.3433
Iraq,382746222.00,371108946.00,158463336.00,3.0199
Ireland,5300000.00,1520000.00,,26.2761
Israel,19743998.00,15699774.00,4188982.00,2.5078
Italy,1520061.00,645996.00,,0.7317
Jamaica,26096027.00,27338286.00,19490628.00,0.9965
Japan,3140009.00,8492882.00,,0.4728
Jordan,755888767.00,1074204835.00,514068190.00,-0.0232
Kazakhstan,63139904.00,63266506.00,15262500.00,1.2
Kenya,840507737.00,746024724.00,461927362.00,5.6492
Korea Republic,1043100.00,3433770.00,312222.00,2.6119
"Korea, Democratic Republic",2041485.00,2003873.00,5394.00,
Kuwait,92372.00,226957.00,,1.847
Kyrgyzstan,63991600.00,63554845.00,39583624.00,3.4693
Laos,15289913.00,18323159.00,14881734.00,7.3504
